process,from_product_id,to_product_id,changed_attributes,C_S_minutes
heading,PRD-A,PRD-A,none,0.00
heading,PRD-B,PRD-A,head_type|diameter_mm|length_mm,75.00
heading,PRD-C,PRD-A,head_type|diameter_mm|length_mm,75.00
heading,PRD-F,PRD-A,length_mm,30.00
heading,PRD-A,PRD-B,head_type|diameter_mm|length_mm,75.00
heading,PRD-B,PRD-B,none,0.00
heading,PRD-C,PRD-B,head_type|diameter_mm|length_mm,75.00
heading,PRD-F,PRD-B,head_type|diameter_mm,75.00
heading,PRD-A,PRD-C,head_type|diameter_mm|length_mm,75.00
heading,PRD-B,PRD-C,head_type|diameter_mm|length_mm,75.00
heading,PRD-C,PRD-C,none,0.00
heading,PRD-F,PRD-C,head_type|diameter_mm|length_mm,75.00
heading,PRD-A,PRD-F,length_mm,30.00
heading,PRD-B,PRD-F,head_type|diameter_mm,75.00
heading,PRD-C,PRD-F,head_type|diameter_mm|length_mm,75.00
heading,PRD-F,PRD-F,none,0.00
threading,PRD-D,PRD-D,none,0.00
threading,PRD-E,PRD-D,diameter_mm|length_mm,75.00
threading,PRD-D,PRD-E,diameter_mm|length_mm,75.00
threading,PRD-E,PRD-E,none,0.00
